nome,nascimento,email,genero,estado_civil,etinia,familia,orientacao_sexual,atividade,media,dimensao1,dimensao2,dimensao3,dimensao4,dimensao5,dimensao6,dimensao7,dimensao8,dimensao9,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36
Wiktoria Becker,2000-02-13,user1@example.com,Masculino,Casado(a),Branco,Classe média baixa,Heterossexual,formação de palavras usando sílabas,3.155555556,3.25,3.5,3,2.75,3.25,3.4,3.5,3,2.75,2,4,5,2,4,4,4,2,1,3,4,4,3,4,2,2,4,5,2,2,5,4,1,5,5,1,3,5,2,4,1,5,3,5,2,1
Andreea Villa,2000-12-12,user2@example.com,Masculino,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.966666667,2,3.5,3.25,3,3.5,2.2,3,2.75,3.5,1,5,1,1,5,2,4,3,4,2,5,2,3,2,5,2,5,1,3,5,2,2,3,4,1,5,1,5,5,1,4,1,5,1,3,5
Sia Wainwright,1998-12-01,user3@example.com,Femenino,Solteiro(a),Preto,Classe média baixa,Heterossexual,formação de palavras usando sílabas,2.027777778,1.75,2.25,1.5,2,2.75,2,2,2.5,1.5,1,1,3,2,2,2,2,3,1,2,1,2,3,1,3,1,3,3,3,2,2,2,1,2,1,1,3,3,5,2,1,2,2,1,2,1
Jamila Weeks,2000-02-01,user4@example.com,Femenino,Solteiro(a),Branco,Classe alta,Heterossexual,formação de palavras usando sílabas,3.066666667,2.75,3.75,2,2.5,2.5,3.6,3.5,3.5,3.5,4,2,3,2,5,3,3,4,2,1,4,1,1,5,2,2,3,2,2,3,2,4,4,3,3,5,1,5,5,4,4,1,5,2,5,2
Albert Silva,2000-12-12,user5@example.com,Masculino,Solteiro(a),Branco,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.227777778,2.25,2,2.5,2.75,1.5,2.8,2.25,2.5,1.5,3,1,2,3,3,1,2,2,4,4,1,1,4,2,1,4,3,1,1,1,1,1,3,1,3,2,1,3,5,1,2,2,1,1,3,1
Ellie-May Cervantes,1998-12-01,user6@example.com,Femenino,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,2.8,3,3,3.25,2.75,3,2.2,2.5,3.25,2.25,4,2,2,4,3,4,2,3,2,5,4,2,4,3,1,3,2,5,1,4,1,3,1,2,1,2,4,3,5,2,1,5,2,3,3,1
Rahima Devine,2000-02-13,user7@example.com,Masculino,Casado(a),Preto,Classe média baixa,Bissexual,formação de palavras usando sílabas,2.316666667,1.75,3,3.25,4.25,2.5,1.6,1.75,1.5,1.25,1,2,3,1,3,3,3,3,5,4,1,3,4,5,5,3,2,3,3,2,3,3,3,1,1,2,3,1,2,1,2,1,2,1,1,1
Veronica Langley,2000-12-12,user8@example.com,Masculino,Casado(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,4.011111111,4.5,5,4.25,4.25,3.5,3.6,4,3.5,3.5,5,4,5,4,5,5,5,5,5,4,4,4,4,4,4,5,2,3,5,4,5,3,4,5,3,5,3,5,3,4,3,4,3,3,3,5
Elissa Tate,1998-12-01,user9@example.com,Femenino,Solteiro(a),Branco,Classe alta,Heterossexual,formação de palavras usando sílabas,1.644444444,1.5,1.5,1.5,1.5,1.5,2.8,1.5,1.5,1.5,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
Daanish Macias,2000-02-18,user10@example.com,Masculino,Solteiro(a),Branco,Classe baixa,Heterossexual,formação de palavras usando sílabas,3.933333333,4,4,4,4,4,3.4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
