Carimbo de data/hora,Nome completo,Turma,email,...estar em vantagem em relação aos outros jogadores?,... que a aparência do seu personagem seja diferente da aparência de outros personagens?,... derrotar outros jogadores?,... competir com outros jogadores?,... tornar-se muito bom em um jogo?,... observar seu desempenho em relação a outros jogadores?,... que estejam combinando em cor e estilo as armadura ou roupas de seu personagem ou que as peças do jogo tenham uma aparência interessante?,... conhecer outros jogadores?,... estar imerso em um mundo de fantasia?,... ajudar outros jogadores?,... fazer coisas que incomodam outros jogadores?,... conversar com outros jogadores?,... outros jogadores (on-line) te ofereceram ajuda quando você teve um problema na vida real?,... procura fazer parte de um grupo em jogos?,... pensa em itens ou características que poderiam ser mudadas para customizar a aparência do seu personagem ou o jogo em si?,... conversa com outros jogadores (on-line) sobre seus problemas/questões pessoais?,... tenta provocar ou irritar de propósito outros jogadores?,... tem conversas significativas com outros jogadores?,... tem conversas significativas com outros jogadores?,4 - Quanto tempo você passa customizando seu personagem durante a criação dele?
6/16/20 9:25,geiser,Zats,ges@gmail.com,1,3,2,4,3,5,1,4,4,5,1,3,1,2,3,1,1,3,3,Frequentemente
6/16/20 11:00,Wiktoria Becker,Franklin,user1@example.com,5,5,3,5,5,5,4,4,5,4,1,4,1,4,5,1,1,3,3,Frequentemente
6/16/20 13:14,Andreea Villa,Guimarães,user2@example.com,2,2,4,4,5,4,2,2,3,3,1,2,1,1,3,1,2,1,1,Pouquíssimo tempo
6/16/20 13:23,Sia Wainwright,Johnson,user3@example.com,3,3,3,4,4,4,2,4,5,4,1,4,3,3,3,2,1,2,2,Não sei ao certo
6/16/20 13:56,Jamila Weeks,Zats,user4@example.com,2,4,3,3,5,3,4,3,5,5,1,3,2,2,4,2,1,1,1,Pouco tempo
6/16/20 14:11,Albert Silva,Guimarães,user5@example.com,4,1,3,3,1,5,1,1,2,4,3,1,1,1,1,1,4,1,1,Pouquíssimo tempo
6/16/20 14:50,Ellie-May Cervantes,Zats,user6@example.com,4,1,3,3,4,4,1,4,3,4,1,3,2,3,2,2,1,3,3,Pouco tempo
6/16/20 15:30,Rahima Devine,Zats,user7@example.com,3,3,2,4,5,3,4,4,5,5,1,4,5,4,5,3,1,4,4,Pouco tempo
6/16/20 16:31,Veronica Langley,Curie,user8@example.com,3,3,1,1,3,4,4,4,4,4,1,3,2,4,4,1,1,4,4,Pouco tempo
6/16/20 16:39,Elissa Tate,Guimarães,user9@example.com,3,3,3,5,4,5,1,4,5,5,1,5,2,4,3,3,2,5,5,Não sei ao certo
6/16/20 17:13,Daanish Macias,Zats,user10@example.com,3,1,3,4,4,4,1,5,3,4,1,3,3,2,1,4,1,5,5,Pouco tempo
6/16/20 18:06,Arthur Jacobson,Zats,user11@example.com,3,1,1,5,4,3,2,4,4,5,1,4,2,4,2,3,1,4,4,Pouquíssimo tempo
